Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Month
Precious Achiuwa,C-PF,24,TOT,37,0,16.2,2.8,5.8,0.479,0.4,1.4,0.264,2.4,4.3,0.55,0.512,0.7,1.2,0.587,2.0,3.2,5.2,1.3,0.5,0.5,1.0,1.6,6.6,01-2024
Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,0.459,0.5,1.9,0.277,2.6,4.9,0.528,0.497,1.0,1.7,0.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,01-2024
Precious Achiuwa,PF,24,NYK,12,0,13.7,2.0,3.6,0.558,0.1,0.5,0.167,1.9,3.1,0.622,0.57,0.3,0.3,0.75,2.0,2.6,4.6,0.4,0.3,0.6,0.8,1.5,4.3,01-2024
Bam Adebayo,C,26,MIA,34,34,35.1,7.8,15.6,0.498,0.0,0.3,0.091,7.8,15.3,0.507,0.499,5.7,7.4,0.78,2.3,8.3,10.6,4.4,1.1,1.0,2.5,2.6,21.4,01-2024
Ochai Agbaji,SG,23,UTA,45,10,20.1,2.2,5.1,0.435,1.0,3.0,0.331,1.2,2.2,0.577,0.53,0.3,0.4,0.75,0.8,1.8,2.5,0.9,0.6,0.6,0.7,1.4,5.8,01-2024
Santi Aldama,PF,23,MEM,33,7,23.2,3.9,9.0,0.432,1.5,4.5,0.333,2.4,4.4,0.534,0.517,1.0,1.7,0.618,1.2,4.4,5.5,1.8,0.7,0.8,1.1,1.6,10.3,01-2024
Nickeil Alexander-Walker,SG,25,MIN,44,14,22.7,2.4,5.6,0.429,1.4,3.8,0.37,1.0,1.9,0.549,0.553,0.4,0.6,0.704,0.4,1.4,1.8,2.5,0.9,0.6,1.0,1.8,6.6,01-2024
Grayson Allen,SG,28,PHO,39,39,33.4,4.6,9.1,0.51,2.8,5.7,0.493,1.8,3.4,0.538,0.664,1.7,1.8,0.903,0.8,3.4,4.2,3.0,0.9,0.6,1.4,2.1,13.7,01-2024
Jarrett Allen,C,25,CLE,37,37,30.3,6.2,9.3,0.661,0.0,0.0,0.0,6.2,9.3,0.663,0.661,2.6,3.5,0.75,3.5,6.8,10.3,3.0,0.9,1.1,1.8,2.4,14.9,01-2024
Jose Alvarado,PG,25,NOP,27,0,16.0,2.4,5.9,0.413,1.3,3.4,0.396,1.1,2.6,0.435,0.525,0.7,1.1,0.645,0.4,1.7,2.1,1.8,0.9,0.4,0.8,1.4,7.0,01-2024
Kyle Anderson,PF,30,MIN,44,2,22.6,2.5,5.3,0.466,0.1,0.7,0.172,2.4,4.7,0.507,0.476,1.4,2.0,0.698,0.7,2.9,3.5,4.0,0.8,0.6,1.3,1.6,6.4,01-2024
Giannis Antetokounmpo,PF,29,MIL,42,42,35.2,11.6,19.2,0.605,0.4,1.8,0.24,11.2,17.5,0.643,0.616,7.5,11.3,0.669,2.7,9.0,11.7,6.2,1.3,1.1,3.6,2.9,31.3,01-2024
Thanasis Antetokounmpo,PF,31,MIL,18,0,4.1,0.4,0.8,0.5,0.0,0.0,,0.4,0.8,0.5,0.5,0.0,0.0,,0.2,0.2,0.4,0.5,0.1,0.2,0.4,0.8,0.8,01-2024
Cole Anthony,PG,23,ORL,43,0,24.2,4.4,10.2,0.432,1.2,3.6,0.331,3.2,6.7,0.486,0.49,3.0,3.5,0.836,1.0,3.1,4.2,3.2,0.8,0.5,1.9,2.6,13.0,01-2024
OG Anunoby,SF,26,TOT,39,39,34.3,5.6,11.4,0.493,2.1,5.5,0.38,3.6,6.0,0.597,0.584,1.6,1.9,0.803,1.0,3.3,4.3,2.3,1.2,0.7,1.5,2.4,14.9,01-2024
OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,0.489,2.3,6.0,0.374,3.6,5.9,0.608,0.584,1.2,1.7,0.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1,01-2024
OG Anunoby,SF,26,NYK,12,12,36.5,5.3,10.4,0.504,1.7,4.2,0.4,3.6,6.3,0.573,0.584,2.3,2.5,0.933,1.3,3.9,5.2,1.3,1.4,1.3,1.4,2.5,14.5,01-2024
Ryan Arcidiacono,PG,29,NYK,16,0,2.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.4,0.4,0.3,0.1,0.0,0.0,0.3,0.0,01-2024
Deni Avdija,SF,23,WAS,43,43,27.5,4.6,9.3,0.5,1.0,2.7,0.368,3.6,6.5,0.555,0.554,2.2,2.9,0.768,1.0,5.2,6.2,3.9,0.9,0.4,1.7,2.5,12.5,01-2024
Deandre Ayton,C,25,POR,28,28,31.4,5.8,10.8,0.535,0.0,0.0,,5.8,10.8,0.535,0.535,1.1,1.4,0.775,3.3,7.2,10.5,1.6,1.0,0.7,2.0,2.4,12.7,01-2024
Udoka Azubuike,C,24,PHO,11,0,8.3,1.4,1.7,0.789,0.0,0.0,,1.4,1.7,0.789,0.789,0.3,0.8,0.333,0.8,1.5,2.3,0.3,0.0,0.5,0.4,1.5,3.0,01-2024
Ibou Badji,C,21,POR,12,1,13.6,0.8,1.3,0.6,0.0,0.0,,0.8,1.3,0.6,0.6,0.3,0.5,0.5,1.5,2.2,3.7,0.7,0.2,1.4,0.8,2.7,1.8,01-2024
Marvin Bagley III,C,24,TOT,30,12,19.9,4.6,7.8,0.588,0.1,0.3,0.222,4.5,7.5,0.603,0.592,2.0,2.7,0.744,2.3,3.1,5.4,1.1,0.3,0.6,1.2,1.8,11.2,01-2024
Marvin Bagley III,C,24,DET,26,10,18.4,4.1,7.0,0.591,0.0,0.2,0.167,4.1,6.7,0.606,0.594,1.9,2.3,0.82,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2,01-2024
Marvin Bagley III,C,24,WAS,4,2,29.5,7.5,13.0,0.577,0.3,0.8,0.333,7.3,12.3,0.592,0.587,2.8,5.3,0.524,6.0,5.3,11.3,1.3,1.0,0.8,1.5,3.5,18.0,01-2024
Amari Bailey,PG,19,CHO,2,0,5.5,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,2.5,01-2024
Patrick Baldwin Jr.,SF,21,WAS,14,0,7.4,1.0,2.2,0.452,0.6,1.2,0.529,0.4,1.0,0.357,0.597,0.5,0.7,0.7,0.4,1.7,2.1,0.4,0.1,0.2,0.4,1.2,3.1,01-2024
LaMelo Ball,PG,22,CHO,21,21,32.8,8.4,19.4,0.435,3.2,9.0,0.362,5.2,10.4,0.498,0.518,4.2,4.9,0.873,1.4,3.9,5.3,8.0,1.8,0.2,3.8,3.6,24.3,01-2024
